repo_name,created_at,age,pull_requests,releases,updated_at,language,open_issues,closed_issues,closed_issues_percent
JavaGuide,2018-05-07T13:27:00Z,6,0,0,2024-08-25T18:40:01Z,Java,63,0,0.0
javascript,2012-11-01T23:13:50Z,12,0,0,2024-08-25T20:20:04Z,JavaScript,164,0,0.0
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,6,0,0,2024-08-25T21:52:39Z,,76,0,0.0
stable-diffusion-webui,2022-08-22T14:05:26Z,2,0,0,2024-08-25T21:49:34Z,Python,2258,0,0.0
transformers,2018-10-29T13:56:00Z,6,0,0,2024-08-25T20:52:51Z,Python,1351,0,0.0
youtube-dl,2010-10-31T14:35:07Z,14,0,0,2024-08-25T21:38:42Z,Python,4199,0,0.0
awesome-go,2014-07-06T13:42:15Z,10,0,0,2024-08-25T21:32:42Z,Go,143,0,0.0
fucking-algorithm,2020-02-19T09:01:23Z,4,0,0,2024-08-25T21:19:08Z,Markdown,418,0,0.0
next.js,2016-10-05T23:32:51Z,8,0,0,2024-08-25T20:11:36Z,JavaScript,3413,0,0.0
go,2014-08-19T04:33:40Z,10,0,0,2024-08-25T22:01:10Z,Go,9560,0,0.0
30-seconds-of-code,2017-11-29T17:35:03Z,7,0,0,2024-08-25T21:58:07Z,JavaScript,0,0,0
react-native,2015-01-09T18:10:16Z,9,0,0,2024-08-25T21:56:39Z,C++,902,0,0.0
tech-interview-handbook,2016-07-05T05:00:48Z,8,0,0,2024-08-25T21:55:28Z,TypeScript,41,0,0.0
electron,2013-04-12T01:47:36Z,11,0,0,2024-08-25T21:07:34Z,C++,946,0,0.0
free-programming-books-zh_CN,2013-11-04T01:59:19Z,11,0,0,2024-08-25T21:38:17Z,,34,0,0.0
kubernetes,2014-06-06T22:56:04Z,10,0,0,2024-08-25T20:53:37Z,Go,2590,0,0.0
awesome-chatgpt-prompts,2022-12-05T13:54:13Z,2,0,0,2024-08-25T19:49:57Z,HTML,285,0,0.0
d3,2010-09-27T17:22:42Z,14,0,0,2024-08-25T19:08:05Z,Shell,13,0,0.0
PowerToys,2019-05-01T17:44:02Z,5,0,0,2024-08-25T21:34:19Z,C#,5951,0,0.0
scrcpy,2017-11-21T18:00:27Z,7,0,0,2024-08-25T21:38:19Z,C,1984,0,0.0
node,2014-11-26T19:57:11Z,10,0,0,2024-08-25T20:57:02Z,JavaScript,2132,0,0.0
axios,2014-08-18T22:30:27Z,10,0,0,2024-08-25T21:27:45Z,JavaScript,783,0,0.0
create-react-app,2016-07-17T14:55:11Z,8,0,0,2024-08-25T21:41:29Z,JavaScript,2234,0,0.0
three.js,2010-03-23T18:58:01Z,14,0,0,2024-08-25T20:08:54Z,JavaScript,539,0,0.0
TypeScript,2014-06-17T15:28:39Z,10,0,0,2024-08-25T21:47:08Z,TypeScript,5655,0,0.0
nodebestpractices,2017-09-15T08:33:19Z,7,0,0,2024-08-25T18:40:35Z,Dockerfile,73,0,0.0
GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,5,0,0,2024-08-25T20:17:17Z,Java,187,0,0.0
rust,2010-06-16T20:39:03Z,14,0,0,2024-08-25T22:01:25Z,Rust,10230,0,0.0
angular,2014-09-18T16:12:01Z,10,0,0,2024-08-25T21:25:23Z,TypeScript,1626,0,0.0
terminal,2017-08-11T18:38:22Z,7,0,0,2024-08-25T21:38:50Z,C++,1525,0,0.0
hello-algo,2022-11-04T11:08:34Z,2,0,0,2024-08-25T17:57:40Z,Java,20,0,0.0
deno,2018-05-15T01:34:26Z,6,0,0,2024-08-25T20:40:34Z,Rust,2026,0,0.0
material-ui,2014-08-18T19:11:54Z,10,0,0,2024-08-25T21:43:32Z,TypeScript,1867,0,0.0
Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,4,0,0,2024-08-25T21:55:50Z,Batchfile,3,0,0.0
ant-design,2015-04-24T15:37:24Z,9,0,0,2024-08-25T20:19:42Z,TypeScript,1229,0,0.0
langchain,2022-10-17T02:58:36Z,2,0,0,2024-08-25T21:40:55Z,Jupyter Notebook,898,0,0.0
clean-code-javascript,2016-11-25T22:25:41Z,8,0,0,2024-08-25T21:17:09Z,JavaScript,165,0,0.0
HelloGitHub,2016-05-04T06:24:11Z,8,0,0,2024-08-25T21:11:27Z,Python,138,0,0.0
java-design-patterns,2014-08-09T16:45:18Z,10,0,0,2024-08-25T18:31:43Z,Java,143,0,0.0
godot,2014-01-04T16:05:36Z,10,0,0,2024-08-25T21:13:21Z,C++,13396,0,0.0
puppeteer,2017-05-09T22:16:13Z,7,0,0,2024-08-25T20:38:30Z,TypeScript,278,0,0.0
vue-element-admin,2017-04-17T03:35:49Z,7,0,0,2024-08-25T10:24:53Z,Vue,1343,0,0.0
free-for-dev,2015-03-18T21:06:26Z,9,0,0,2024-08-25T20:18:44Z,HTML,12,0,0.0
ollama,2023-06-26T19:39:32Z,1,0,0,2024-08-25T21:40:57Z,Go,1324,0,0.0
papers-we-love,2013-12-15T14:31:41Z,11,0,0,2024-08-25T21:58:45Z,Shell,22,0,0.0
